original,short
Gender,Gender
Age,Age
"Dance, Disco, Funk",Dance
Folk music,Folk
Country,Country
Classical,Classical music
Musicals,Musical
Pop,Pop
Rock,Rock
"Metal, Hard rock",Metal or Hardrock
Punk,Punk
"Hip hop, Rap","Hiphop, Rap"
"Reggae, Ska","Reggae, Ska"
"Swing, Jazz","Swing, Jazz"
Rock n Roll,Rock n roll
Alternative music,Alternative
Latin,Latino
"Techno, Trance","Techno, Trance"
Opera,Opera
Horror movies,Horror
Thriller movies,Thriller
Comedies,Comedy
Romantic movies,Romantic
Sci-fi movies,Sci-fi
War movies,War
Tales,Fantasy/Fairy tales
Cartoons,Animated
Documentaries,Documentary
Western movies,Western
Action movies,Action
History,History
Psychology,Psychology
Politics,Politics
Mathematics,Mathematics
Physics,Physics
Internet,Internet
"PC Software, Hardware",PC
"Economy, Management",Economy Management
Biology,Biology
Chemistry,Chemistry
Poetry reading,Reading
Geography,Geography
Foreign languages,Foreign languages
Medicine,Medicine
Law,Law
Cars,Cars
Art,Art exhibitions
Religion,Religion
Outdoor activities,"Countryside, outdoors"
Dancing,Dancing
Playing musical instruments,Musical instruments
Poetry writing,Writing
Sport and leisure activities,Passive sport
Sport at competitive level,Active sport
Gardening,Gardening
Celebrity lifestyle,Celebrities
Shopping,Shopping
Science and technology,Science and technology
Theatre,Theatre
Socializing,Fun with friends
Adrenaline sports,Adrenaline sports
Pets,Pets
Flying,Flying
"Thunder, lightning",Storm
Darkness,Darkness
Heights,Heights
Spiders,Spiders
Snakes,Snakes
"Rats, mice",Rats
Ageing,Ageing
Dangerous dogs,Dangerous dogs
Public speaking,Fear of public speaking
I prefer branded clothing to non branded.,Branded clothing
I spend a lot of money on  partying and socializing.,Entertainment spending
I spend a lot of money on my appearance.,Spending on looks
I spend a lot of money on gadgets.,Spending on gadgets
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating
